Reset,left_occupied,left_angle,left_offset,left_size,left_width,left_length,left_has_pillar,right_occupied,right_angle,right_offset,right_size,right_width,right_length,right_has_pillar,goal_lane_index,goal_position_x,goal_position_y,goal_heading,controlled_x,controlled_y,controlled_width,controlled_length,step,done
Reset 493,0,0.0,0.0,0,0.0,0.0,0,1,0.09863875447931836,0.0,2,2.0,5.5,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-7.763416562439601,0.0,2.0,5.0,16,True
Reset 494,0,0.0,0.0,0,0.0,0.0,0,1,-0.16986634312965854,0.0,1,2.0,5.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-9.610748873013343,0.0,2.0,5.0,17,True
Reset 495,0,0.0,0.0,0,0.0,0.0,0,1,-0.15060325583073575,0.0,1,2.0,5.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-3.9204445992903683,0.0,2.0,5.0,15,True
Reset 496,1,-0.0555162031748353,0.0,1,2.0,5.0,0,1,-0.09509831478105002,0.0,2,2.0,5.5,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-8.686358293952226,0.0,2.0,5.0,23,True
Reset 497,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-6.086186290590865,0.0,2.0,5.0,20,True
Reset 498,1,-0.17034590243988457,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-8.817811594314417,0.0,2.0,5.0,26,True
Reset 499,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-8.986120354930797,0.0,2.0,5.0,19,True
Reset 500,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-3.6255491117848857,0.0,2.0,5.0,15,True
Reset 501,1,-0.11352835219741131,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-4.227775111950393,0.0,2.0,5.0,24,True
Reset 502,0,0.0,0.0,0,0.0,0.0,1,1,-0.10386216823555827,0.0,1,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-7.196236811738474,0.0,2.0,5.0,26,True
Reset 503,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-6.30264720284123,0.0,2.0,5.0,14,True
Reset 504,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-9.03410276566763,0.0,2.0,5.0,15,True
Reset 505,1,-0.03947947344043734,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-4.503899479474214,0.0,2.0,5.0,15,True
Reset 506,0,0.0,0.0,0,0.0,0.0,0,1,-0.16578242355454442,0.0,0,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-9.186761921725893,0.0,2.0,5.0,23,True
Reset 507,1,-0.12625397298244367,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-4.283072172817321,0.0,2.0,5.0,15,True
Reset 508,1,-0.10743941907528987,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-2.694359409999409,0.0,2.0,5.0,14,True
Reset 509,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-3.7866535906502667,0.0,2.0,5.0,16,True
Reset 510,1,0.04932506781930912,0.0,1,2.0,5.0,1,1,0.08722581479116065,0.0,2,2.0,5.5,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-9.657665185171986,0.0,2.0,5.0,22,True
Reset 511,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-8.22465861385136,0.0,2.0,5.0,14,True
Reset 512,1,-0.12612982699214426,0.0,0,2.0,5.0,1,1,-0.16572032301178963,0.0,0,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-4.256411704175189,0.0,2.0,5.0,19,True
Reset 513,1,-0.04276646218463487,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-6.18189490600627,0.0,2.0,5.0,24,True
Reset 514,0,0.0,0.0,0,0.0,0.0,0,1,-0.09028064032679572,0.0,0,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-8.67775451421336,0.0,2.0,5.0,23,True
Reset 515,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-4.498328554471525,0.0,2.0,5.0,17,True
Reset 516,1,0.08791106071221555,0.0,2,2.0,5.5,0,0,0.0,0.0,0,0.0,0.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-2.445010222487669,0.0,2.0,5.0,21,True
Reset 517,1,-0.11331482293365558,0.0,2,2.0,5.5,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-4.660205669836186,0.0,2.0,5.0,19,True
Reset 518,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-6.470416928604248,0.0,2.0,5.0,24,True
Reset 519,1,0.053715526406933334,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-3.272247004475199,0.0,2.0,5.0,21,True
Reset 520,1,-0.10347130712135044,0.0,1,2.0,5.0,1,1,-0.14716147783354705,0.0,1,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-3.2524400169056804,0.0,2.0,5.0,19,True
Reset 521,1,0.17059887659222883,0.0,0,2.0,5.0,0,1,0.08394798292960148,0.0,1,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-6.923933667782909,0.0,2.0,5.0,23,True
Reset 522,0,0.0,0.0,0,0.0,0.0,0,1,-0.0739744653299399,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-9.299444518423787,0.0,2.0,5.0,19,True
Reset 523,0,0.0,0.0,0,0.0,0.0,0,1,-0.16782489165657433,0.0,1,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-3.417590480503736,0.0,2.0,5.0,21,True
Reset 524,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-3.6414901100682444,0.0,2.0,5.0,16,True
Reset 525,0,0.0,0.0,0,0.0,0.0,1,1,-0.15097157392032345,0.0,1,2.0,5.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-7.149385335963221,0.0,2.0,5.0,14,True
Reset 526,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-5.686024288001481,0.0,2.0,5.0,24,True
Reset 527,0,0.0,0.0,0,0.0,0.0,1,1,0.1513192707494515,0.0,0,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-8.45494894373481,0.0,2.0,5.0,21,True
Reset 528,0,0.0,0.0,0,0.0,0.0,0,1,0.010763552941376542,0.0,1,2.0,5.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-5.914019715753339,0.0,2.0,5.0,16,True
Reset 529,1,-0.08632116462985762,0.0,0,2.0,5.0,1,1,0.10226634608167529,0.0,1,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-3.370143989566216,0.0,2.0,5.0,19,True
Reset 530,1,0.026922529893682823,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-2.710809583604507,0.0,2.0,5.0,17,True
Reset 531,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-5.320735579078776,0.0,2.0,5.0,20,True
Reset 532,0,0.0,0.0,0,0.0,0.0,0,1,-0.14186426040648104,0.0,2,2.0,5.5,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-2.98306080648936,0.0,2.0,5.0,21,True
Reset 533,1,0.15321646164567415,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-5.119808022962821,0.0,2.0,5.0,21,True
Reset 534,1,-0.09720685904542514,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-2.8569633767989977,0.0,2.0,5.0,17,True
Reset 535,1,-0.13109428015307212,0.0,0,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-8.175800638058664,0.0,2.0,5.0,21,True
Reset 536,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-7.779202513136428,0.0,2.0,5.0,25,True
Reset 537,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-2.029223333798562,0.0,2.0,5.0,22,True
Reset 538,0,0.0,0.0,0,0.0,0.0,1,1,-0.07524785564143177,0.0,1,2.0,5.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-6.288472952075423,0.0,2.0,5.0,14,True
Reset 539,1,-0.0963131518550926,0.0,1,2.0,5.0,0,1,-0.015589772460055773,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-8.994016122261717,0.0,2.0,5.0,19,True
Reset 540,1,-0.04019149962974922,0.0,1,2.0,5.0,0,1,0.08120334418514474,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-5.300141581458692,0.0,2.0,5.0,17,True
Reset 541,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-8.158743387852882,0.0,2.0,5.0,14,True
Reset 542,0,0.0,0.0,0,0.0,0.0,1,1,0.014390095189947383,0.0,1,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-7.995836906428512,0.0,2.0,5.0,21,True
Reset 543,1,-0.03723185316341593,0.0,1,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-3.3810454408474824,0.0,2.0,5.0,19,True
Reset 544,0,0.0,0.0,0,0.0,0.0,1,1,0.1732370828538059,0.0,1,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-5.616543238341641,0.0,2.0,5.0,25,True
Reset 545,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-4.474081151061895,0.0,2.0,5.0,17,True
Reset 546,1,0.08882420377580158,0.0,1,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-3.195473903434676,0.0,2.0,5.0,19,True
Reset 547,0,0.0,0.0,0,0.0,0.0,0,1,0.023760170948792236,0.0,1,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-8.403884839162748,0.0,2.0,5.0,24,True
Reset 548,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-8.042906410814993,0.0,2.0,5.0,18,True
Reset 549,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-6.63815717204802,0.0,2.0,5.0,24,True
Reset 550,1,0.15683649722350967,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-6.759373557219005,0.0,2.0,5.0,18,True
Reset 551,0,0.0,0.0,0,0.0,0.0,1,1,0.01058138882141213,0.0,0,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-8.316681406402719,0.0,2.0,5.0,26,True
Reset 552,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-2.3579153249383777,0.0,2.0,5.0,20,True
Reset 553,1,0.04408084401103629,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-5.869524028817387,0.0,2.0,5.0,17,True
Reset 554,1,0.004753285145686403,0.0,1,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-2.551759255843769,0.0,2.0,5.0,19,True
Reset 555,1,-0.0033425758333889277,0.0,1,2.0,5.0,0,1,0.06722265594619281,0.0,0,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-4.854467043044988,0.0,2.0,5.0,21,True
Reset 556,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-4.350183643821171,0.0,2.0,5.0,24,True
Reset 557,1,-0.02669043716263153,0.0,2,2.0,5.5,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-3.271170307947819,0.0,2.0,5.0,23,True
Reset 558,0,0.0,0.0,0,0.0,0.0,1,1,-0.06664086190306451,0.0,0,2.0,5.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-7.858359388263454,0.0,2.0,5.0,14,True
Reset 559,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-3.191770616625335,0.0,2.0,5.0,21,True
Reset 560,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-6.115352734912753,0.0,2.0,5.0,25,True
Reset 561,1,-0.15329197232592717,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-9.618261963700789,0.0,2.0,5.0,19,True
Reset 562,1,-0.08959282430960025,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-4.701965196320118,0.0,2.0,5.0,17,True
Reset 563,1,-0.03051738577977936,0.0,1,2.0,5.0,0,1,-0.12420466807546604,0.0,1,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-4.60611846415502,0.0,2.0,5.0,22,True
Reset 564,0,0.0,0.0,0,0.0,0.0,1,1,-0.06262580824773267,0.0,1,2.0,5.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-6.332627166032546,0.0,2.0,5.0,20,True
Reset 565,1,-0.12227150102765716,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-5.478753400790463,0.0,2.0,5.0,17,True
Reset 566,0,0.0,0.0,0,0.0,0.0,0,1,-0.10506110799505941,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-4.607938401168361,0.0,2.0,5.0,17,True
Reset 567,1,0.0014451692183092835,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-2.5982666284558595,0.0,2.0,5.0,21,True
Reset 568,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-5.539735542381829,0.0,2.0,5.0,13,True
Reset 569,1,0.012308044422377096,0.0,2,2.0,5.5,0,1,-0.12123890147056704,0.0,0,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-2.2489121275598176,0.0,2.0,5.0,21,True
Reset 570,1,0.1727719002464414,0.0,1,2.0,5.0,0,1,0.1666577292320628,0.0,1,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-2.986383961291458,0.0,2.0,5.0,21,True
Reset 571,1,0.08230898630870875,0.0,1,2.0,5.0,0,1,0.17047509909318093,0.0,2,2.0,5.5,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-6.26057853670329,0.0,2.0,5.0,22,True
Reset 572,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-2.9871858494196273,0.0,2.0,5.0,19,True
Reset 573,0,0.0,0.0,0,0.0,0.0,1,1,-0.008078919815362795,0.0,1,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-7.029610635187898,0.0,2.0,5.0,20,True
Reset 574,0,0.0,0.0,0,0.0,0.0,0,1,-0.1611759766148646,0.0,2,2.0,5.5,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-4.656350836660469,0.0,2.0,5.0,17,True
Reset 575,1,-0.14430781150809446,0.0,2,2.0,5.5,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-7.397075122052254,0.0,2.0,5.0,25,True
Reset 576,0,0.0,0.0,0,0.0,0.0,1,1,-0.013463202587127743,0.0,2,2.0,5.5,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-6.851778709466546,0.0,2.0,5.0,25,True
Reset 577,0,0.0,0.0,0,0.0,0.0,1,1,-0.17313727785434385,0.0,0,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-4.509776701834637,0.0,2.0,5.0,24,True
Reset 578,0,0.0,0.0,0,0.0,0.0,1,1,-0.15489826213593227,0.0,1,2.0,5.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-4.956499130817728,0.0,2.0,5.0,13,True
Reset 579,1,0.03594420432912271,0.0,1,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-6.810093797762252,0.0,2.0,5.0,21,True
Reset 580,1,0.05319345636789374,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-5.9376510336279145,0.0,2.0,5.0,18,True
Reset 581,1,0.11377512922170663,0.0,1,2.0,5.0,0,1,0.11299159514903923,0.0,0,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-5.341294844862898,0.0,2.0,5.0,22,True
Reset 582,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-9.086070587070054,0.0,2.0,5.0,26,True
Reset 583,1,0.062392011158956207,0.0,1,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-8.886683095451271,0.0,2.0,5.0,21,True
Reset 584,0,0.0,0.0,0,0.0,0.0,0,1,-0.12625450261498217,0.0,1,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-2.7487768102894368,0.0,2.0,5.0,21,True
Reset 585,1,0.11538822019718697,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-3.9859323790987915,0.0,2.0,5.0,16,True
Reset 586,1,-0.14606989487214883,0.0,1,2.0,5.0,1,1,0.12139317428848129,0.0,1,2.0,5.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-8.367469309823882,0.0,2.0,5.0,21,True
Reset 587,1,0.026505699941376193,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-8.954645709106128,0.0,2.0,5.0,19,True
Reset 588,1,-0.1131378307496862,0.0,0,2.0,5.0,0,1,0.17277473610166938,0.0,1,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-6.527995456166738,0.0,2.0,5.0,22,True
Reset 589,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-7.6517379124979605,0.0,2.0,5.0,23,True
Reset 590,0,0.0,0.0,0,0.0,0.0,1,1,-0.11462822843240272,0.0,1,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-9.988320875921072,0.0,2.0,5.0,27,True
Reset 591,0,0.0,0.0,0,0.0,0.0,0,1,-0.06782149789917935,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-5.52082863193774,0.0,2.0,5.0,17,True
Reset 592,1,0.14203387321193373,0.0,1,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-8.072205727278368,0.0,2.0,5.0,21,True
Reset 593,1,0.08895783424089254,0.0,1,2.0,5.0,1,1,-0.10945111947417252,0.0,0,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-2.18813744925,0.0,2.0,5.0,19,True
Reset 594,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-8.220679249989942,0.0,2.0,5.0,25,True
Reset 595,1,-0.15650229246580882,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-5.16037420703446,0.0,2.0,5.0,17,True
Reset 596,1,-0.044569054974741285,0.0,2,2.0,5.5,0,1,-0.15482335425481608,0.0,1,2.0,5.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-3.297424040640103,0.0,2.0,5.0,15,True
Reset 597,1,-0.1372870397755257,0.0,1,2.0,5.0,1,1,-0.06895194778196423,0.0,1,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-8.113983003894678,0.0,2.0,5.0,21,True
Reset 598,1,0.05092273035728212,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-7.295822101144574,0.0,2.0,5.0,24,True
Reset 599,0,0.0,0.0,0,0.0,0.0,1,1,-0.08436782611167493,0.0,1,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-4.0522004655961075,0.0,2.0,5.0,24,True
Reset 600,1,0.15107034584882473,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-2.9583813719723144,0.0,2.0,5.0,17,True
Reset 601,1,-0.00028342711307050017,0.0,1,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-4.158169205711258,0.0,2.0,5.0,19,True
Reset 602,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-8.6305080552714,0.0,2.0,5.0,15,True
Reset 603,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-3.7091058359396403,0.0,2.0,5.0,23,True
Reset 604,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-7.700635733839557,0.0,2.0,5.0,18,True
Reset 605,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-4.505373976204966,0.0,2.0,5.0,13,True
Reset 606,1,-0.0972278359816614,0.0,0,2.0,5.0,0,1,-0.08330818569813325,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-9.875868391309716,0.0,2.0,5.0,20,True
Reset 607,1,-0.1368321928342613,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-4.097965756437356,0.0,2.0,5.0,17,True
Reset 608,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-6.757999201109207,0.0,2.0,5.0,14,True
Reset 609,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-7.852117476046952,0.0,2.0,5.0,26,True
Reset 610,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-5.833802404900228,0.0,2.0,5.0,25,True
Reset 611,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",8.0,14.0,1.5707963267948966,-4.404986752154298,0.0,2.0,5.0,17,True
Reset 612,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",2.0,-14.0,-1.5707963267948966,-5.417629077064557,0.0,2.0,5.0,13,True
Reset 613,0,0.0,0.0,0,0.0,0.0,1,1,-0.09213998952865943,0.0,1,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-6.641916046231935,0.0,2.0,5.0,25,True
Reset 614,0,0.0,0.0,0,0.0,0.0,0,1,0.08907753520107553,0.0,0,2.0,5.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-8.5668264916755,0.0,2.0,5.0,17,True
Reset 615,1,0.11924772750720436,0.0,0,2.0,5.0,0,1,0.13320010476308042,0.0,0,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-7.808089219121131,0.0,2.0,5.0,22,True
Reset 616,1,0.13057403047696936,0.0,2,2.0,5.5,0,1,0.16519736990794587,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-2.5804350144485175,0.0,2.0,5.0,16,True
Reset 617,1,-0.08261672344960314,0.0,0,2.0,5.0,0,1,0.1228736733809277,0.0,0,2.0,5.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-2.4171881473360175,0.0,2.0,5.0,21,True
